          -52005,-27629489.653137,-76.643521398,-62005,-27656845.5834866,-76.7194060726,-72005,-27957760.8173327,-77.5541374938,-82005,-28012472.6780319,-77.7059068431,
            -92005,-28039828.6083816,-77.7817915177,-102005,-28258676.0511787,-78.3888689149,-112005,-28231320.1208291,-78.3129842403,-122005,-28176608.2601298,-78.161214891,
            -12006,-28094540.4690809,-77.933560867,-22006,-28258676.0511787,-78.3888689149,-32006,-28340743.8422276,-78.6165229389,-42006,-28586947.2153744,-79.2994850108,
            -52006,-28586947.2153744,-79.2994850108,-62006,-28614303.145724,-79.3753696854,-72006,-28641659.0760737,-79.4512543601,-82006,-28641659.0760737,-79.4512543601,
            -92006,-28395455.7029269,-78.7682922882,-102006,-28203964.1904794,-78.2370995656,-112006,-28149252.3297802,-78.0853302163,-122006,-28149252.3297802,-78.0853302163,
            -12007,-28111501.1458976,-77.9806093653,-22007,-28026314.7787889,-77.7443044884,-32007,-28083105.6901947,-77.901841073,-42007,-28225082.9687094,-78.2956825345,
            -52007,-28225082.9687094,-78.2956825345,-62007,-28423851.1586298,-78.8470605805,-72007,-28736201.171362,-79.7135117957,-82007,-28934969.3612825,-80.2648898417,
            -92007,-28792992.0827679,-79.8710483802,-102007,-28821387.5384708,-79.9498166725,-112007,-28934969.3612825,-80.2648898417,-122007,-29105342.0955001,-80.7374995954,
            -12008,-29105342.0955001,-80.7374995954,-22008,-29048551.1840942,-80.5799630108,-32008,-29133737.551203,-80.8162678877,-42008,-29559669.3867469,-81.997792272,
            -52008,-29758437.5766674,-82.549170318,-62008,-29786833.0323703,-82.6279386103,-72008,-30127578.5008055,-83.5731581178,-82008,-30383137.6021318,-84.2820727484,
            -92008,-30383137.6021318,-84.2820727484,-102008,-30411533.0578347,-84.3608410407,-112008,-30241160.3236172,-83.8882312869,-122008,-30212764.8679142,-83.8094629946,
            -12009,-30052529.3113826,-83.3649735213,-22009,-30022685.6874388,-83.2821880461,-32009,-30171903.8071577,-83.696115422,-42009,-30470340.0465955,-84.523970174,
            -52009,-30589714.5423706,-84.8551120748,-62009,-30858307.1578646,-85.6001813515,-72009,-31186587.0212461,-86.5108215787,-82009,-31335805.140965,-86.9247489546,
            -92009,-31246274.2691337,-86.6763925291,-102009,-31305961.5170212,-86.8419634794,-112009,-31395492.3888525,-87.090319905,-122009,-31395492.3888525,-87.090319905,
            -12010,-31186587.0212461,-86.5108215787,-22010,-31097056.1494148,-86.2624651531,-32010,-31126899.7733586,-86.3452506283,-42010,-31395492.3888525,-87.090319905,
